Class,precision,recall,f1-score,support
Timely,0.9911873840445269,0.9830937320299022,0.9871239678965298,8695.0
Untimely,0.14035087719298245,0.24,0.17712177121771217,100.0
accuracy,0.9746446844798181,0.9746446844798181,0.9746446844798181,0.9746446844798181
macro avg,0.5657691306187547,0.6115468660149511,0.582122869557121,8795.0
weighted avg,0.9815132907318316,0.9746446844798181,0.9779141646369639,8795.0
